ethn..geo_code,ethn..proportion_of_sa_within_co_m_boundary,ethn..total_persons,ethn..white_or_white_irish,ethn..black_or_black_irish,ethn..asian_or_asian_irish,ethn..mixed_other_ethnicity,ethn..not_stated
47016001,0.84927830973138396,362,361,0,0,1,0
47016002,1.00000000002636,355,353,0,0,0,2
47016003,1,241,235,0,0,0,6
47016004,1,289,285,0,0,2,2
47016005,0.98867937370549996,335,309,5,9,1,11
47016006,1.00000000000031,457,426,8,16,3,4
47016007,0.999999999999859,312,292,5,8,6,1
47016008,0.99999999999991196,229,205,9,8,1,6
47016009,0.75889738991815403,378,313,0,1,6,58
47016010,0.99999999999985301,427,404,5,4,4,10
47016011,0.66827317663947805,242,228,0,3,6,5
47016015,0.99999999999414901,233,217,0,15,1,0
47016016,0.76696206876935702,176,175,1,0,0,0
47016017,0.79162578176890996,355,344,0,4,4,3
47016018,1.0000000000014699,339,330,0,4,4,1
47016019,0.74744760429483503,243,231,1,3,2,6
47016020,1,365,351,0,4,9,1
47016021,1,245,236,0,6,2,1
47016022,1,197,187,3,6,1,0
47016023,0.99999999999996503,241,238,0,0,2,1
47016024,0.937168674868049,328,309,1,3,11,4
47016025,1.00000000000002,200,179,4,4,6,7
47016026,1,226,214,0,10,2,0
47016027,0.57918912781232101,219,216,1,1,1,0
47016028,1.0000000000001401,297,267,11,6,7,6
47016031,3.9567407078046297E-2,270,236,11,2,10,11
47016032,0.71501707377620305,294,273,0,9,4,8
47016033,0.99999999999981304,252,246,0,0,6,0
47016034,0.94087852331755595,281,274,0,2,0,5
47016035,0.48716209054623599,312,295,0,4,10,3
47016036,0.99999999999899203,317,302,0,6,4,5
47016037,1.0000000000003699,289,267,9,1,10,2
47016038,1.0000000000006799,225,199,16,2,4,4
47016039,0.38487046842381001,218,203,4,0,10,1
47016040,0.99999999999899603,220,202,5,5,5,3
47016041,1.0000000000000999,209,178,10,1,2,18
47016042,0.95164054736432702,232,211,0,5,8,8
47016043,0.99655963035892203,384,341,19,14,3,7
47016044,1.0000000000014799,214,203,6,0,1,4
47016045,0.14004668349656799,248,224,5,1,13,5
47016046,0.999316748645524,234,227,2,0,2,3
47016047,0.98615958192106501,294,278,4,1,6,5
47016048,0.97976730009950197,253,220,4,6,12,11
47016049,1.0000000000001199,260,236,2,1,15,6
47016051,0.2987266564812,364,316,11,18,13,6
47016052,0.34598182023188201,191,166,10,4,7,4
47016053,1.00000000000051,169,118,29,8,14,0
47016054,0.99999999999978795,284,277,0,0,0,7
47016055,0.99999999999993605,238,170,50,4,10,4
47016056,1.00000000000002,262,259,0,1,0,2
47016057,1,329,301,8,4,13,3
47016058,0.99999999999994804,364,332,1,17,13,1
47016059,0.99999999999992994,309,285,0,5,10,9
47016060,0.99999999999516298,192,187,5,0,0,0
47016061,1.0000000000000899,306,305,0,0,0,1
47016062,1.00000000000003,205,188,1,9,2,5
47016063,1,164,151,2,0,5,6
47016065,0.99999999999966305,180,171,1,5,3,0
47016066,0.84906938360677098,149,132,1,0,4,12
47270004,3.9083442485363003E-2,222,220,0,0,1,1
47270005,0.80589150436724799,274,272,0,0,1,1
47270006,1.0000000000002001,277,272,1,1,3,0
47270007,0.63752127554020199,344,343,0,1,0,0
47270008,1.0000000000006399,75,63,0,8,0,4
47270009,0.99999999962434505,67,67,0,0,0,0
