health..sa_id,health..proportion_of_sa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health,health..not_stated
47016001,0.84927830973138396,363,238,97,21,3,0,4
47016002,1.00000000002636,357,227,87,32,2,0,9
47016003,1,241,169,53,11,1,0,7
47016004,1,290,190,82,12,3,0,3
47016005,0.98867937370549996,341,259,59,7,3,1,12
47016006,1.00000000000031,458,306,126,14,1,1,10
47016007,0.999999999999859,312,241,57,7,1,0,6
47016008,0.99999999999991196,231,167,53,6,0,0,5
47016009,0.75889738991815403,399,200,97,37,7,1,57
47016010,0.99999999999985301,429,292,94,22,4,1,16
47016011,0.66827317663947805,244,148,64,19,3,2,8
47016015,0.99999999999414901,237,166,64,6,0,0,1
47016016,0.76696206876935702,180,109,55,11,2,1,2
47016017,0.79162578176890996,358,238,90,20,6,0,4
47016018,1.0000000000014699,340,249,72,14,2,0,3
47016019,0.74744760429483503,244,155,66,18,1,0,4
47016020,1,366,268,82,11,2,0,3
47016021,1,246,144,80,14,3,1,4
47016022,1,198,122,58,16,2,0,0
47016023,0.99999999999996503,243,143,65,26,2,3,4
47016024,0.937168674868049,330,204,98,20,3,1,4
47016025,1.00000000000002,205,109,62,22,3,0,9
47016026,1,227,139,60,21,3,1,3
47016027,0.57918912781232101,220,119,83,13,2,1,2
47016028,1.0000000000001401,300,184,75,29,4,0,8
47016031,3.9567407078046297E-2,273,125,100,27,3,3,15
47016032,0.71501707377620305,294,176,90,20,4,1,3
47016033,0.99999999999981304,255,194,55,4,1,1,0
47016034,0.94087852331755595,282,174,64,28,3,3,10
47016035,0.48716209054623599,313,200,93,15,1,1,3
47016036,0.99999999999899203,317,189,99,19,2,1,7
47016037,1.0000000000003699,289,173,82,28,4,0,2
47016038,1.0000000000006799,226,126,67,24,4,1,4
47016039,0.38487046842381001,218,121,67,19,4,0,7
47016040,0.99999999999899603,222,166,45,7,0,0,4
47016041,1.0000000000000999,211,152,38,6,3,0,12
47016042,0.95164054736432702,239,170,53,8,2,0,6
47016043,0.99655963035892203,386,264,87,24,2,1,8
47016044,1.0000000000014799,214,111,77,19,0,0,7
47016045,0.14004668349656799,250,150,62,25,6,1,6
47016046,0.999316748645524,234,137,68,19,3,3,4
47016047,0.98615958192106501,295,195,75,18,3,1,3
47016048,0.97976730009950197,254,162,70,8,2,2,10
47016049,1.0000000000001199,260,194,59,3,1,0,3
47016051,0.2987266564812,365,274,63,15,3,0,10
47016052,0.34598182023188201,192,126,47,10,1,1,7
47016053,1.00000000000051,171,120,42,4,1,0,4
47016054,0.99999999999978795,284,194,64,14,2,1,9
47016055,0.99999999999993605,238,160,56,12,2,1,7
47016056,1.00000000000002,263,204,52,5,1,0,1
47016057,1,329,233,72,13,5,0,6
47016058,0.99999999999994804,365,280,67,11,3,0,4
47016059,0.99999999999992994,309,172,91,32,6,2,6
47016060,0.99999999999516298,193,97,71,16,7,0,2
47016061,1.0000000000000899,311,187,100,21,3,0,0
47016062,1.00000000000003,206,123,62,14,2,2,3
47016063,1,170,99,51,9,2,2,7
47016065,0.99999999999966305,181,122,48,6,1,0,4
47016066,0.84906938360677098,149,70,54,11,3,0,11
47270004,3.9083442485363003E-2,223,115,80,23,4,0,1
47270005,0.80589150436724799,275,160,93,17,3,0,2
47270006,1.0000000000002001,277,164,79,28,4,1,1
47270007,0.63752127554020199,351,190,100,38,14,2,7
47270008,1.0000000000006399,75,32,28,13,2,0,0
47270009,0.99999999962434505,68,26,31,10,1,0,0
