pop..dz_id,pop..proportion_of_dz_within_co_m_boundary,pop..total_persons,pop..male_persons,pop..female_persons,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
S01007720,2.2009609583003201E-2,767,341,426,47,52,18,108,122,177,127,116
S01007798,0.81991702851417403,696,357,339,39,74,80,69,147,214,56,17
S01007807,0.60502346054275902,753,374,379,28,76,60,100,127,215,114,33
S01007808,1.0000000000003899,766,375,391,64,83,72,102,120,194,102,29
S01007809,0.82795286010073599,908,437,471,36,59,49,103,113,228,211,109
S01007810,1.0000000000028799,861,414,447,59,79,76,130,99,207,145,66
S01007811,0.99704354586039501,1044,440,604,104,132,105,123,199,213,133,35
S01007812,1.0000000000037299,853,414,439,84,100,89,124,141,210,83,22
S01007813,0.99999999995225497,800,379,421,42,106,94,106,113,173,115,51
S01007814,0.99999999999979405,539,274,265,18,42,38,85,75,137,100,44
S01007815,0.99043202440283196,849,387,462,22,36,30,105,73,213,196,174
S01007816,1.0000000000035201,582,282,300,21,27,32,78,80,130,147,67
S01007817,0.99999999999949796,461,194,267,30,43,29,52,54,105,87,61
S01007818,0.99919369608355302,705,330,375,37,56,47,105,112,186,118,44
S01007819,0.99999999999625999,853,416,437,43,52,65,89,139,226,140,99
S01007820,1.0000000000221201,926,417,509,39,79,72,130,129,228,160,89
S01007821,1.0000000000073199,527,258,269,22,44,25,66,69,122,111,68
S01007822,1.0000000000011799,716,344,372,20,25,39,96,73,182,189,92
S01007823,1.0000000000009499,724,353,371,25,48,37,92,119,173,154,76
S01007825,1.06947863306153E-2,937,450,487,29,43,38,129,101,255,227,115
S01007826,4.9150034348872502E-2,685,312,373,45,57,50,96,107,165,91,74
S01007846,2.4194503812946199E-2,754,365,389,50,85,40,116,155,144,119,45
S01007850,6.7416335464911006E-2,727,336,391,38,88,61,96,85,182,119,58
S01007857,0.99999999999622302,502,216,286,21,48,42,71,90,130,70,30
S01007858,0.999945620592953,1048,464,584,37,73,64,110,133,284,228,119
S01007859,0.99999999999887101,632,307,325,36,63,68,81,82,170,91,41
S01007860,0.99999999998550804,633,294,339,43,61,75,76,109,211,42,16
S01007861,0.99999999999962796,643,316,327,38,74,44,94,96,135,119,43
S01007862,0.99999999999926203,721,333,388,40,70,55,82,136,152,125,61
S01007863,0.99999999999879696,878,413,465,78,109,65,128,140,190,121,47
S01007864,1.00000000000367,968,452,516,67,85,52,171,177,208,123,85
S01007865,0.99789602325797899,945,458,487,60,116,86,101,175,320,73,14
S01007866,1.0000000000010001,529,258,271,25,42,51,50,77,185,85,14
