rel..sa_id,rel..proportion_of_sa_within_co_m_boundary,rel..total_persons,rel..religion_catholic,rel..religion_presbyterian_church_in_ireland,rel..religion_church_of_ireland,rel..religion_methodist_church_in_ireland,rel..religion_other_christian_including_christian_related,rel..religion_other_religions,rel..religion_no_religion,rel..religion_religion_not_stated
N00003676,0.61554231158510497,303,251,13,0,1,2,9,6,21
N00003677,0.99999999962094999,295,260,0,0,0,0,2,10,23
N00003678,1.00000000000244,378,327,4,2,1,2,3,11,28
N00003679,0.99999999998788602,327,274,5,0,3,1,2,13,29
N00003680,0.99999999987175603,254,202,3,0,0,0,3,20,26
N00003681,1.00000000005922,409,286,5,9,0,9,13,21,66
N00003682,0.99999999996122602,226,170,1,1,0,3,1,17,33
N00003702,0.107947719282998,862,759,11,1,2,8,6,24,51
N00003734,0.99981242656337699,380,336,2,1,0,1,1,21,18
N00003735,1.0000000001176601,306,226,0,3,0,2,1,10,64
N00003736,1.0000000000470199,350,303,3,1,0,1,0,12,30
N00003737,0.91447566404056502,544,449,12,1,0,2,5,20,55
N00003738,1.00000000001784,292,240,2,1,0,1,1,16,31
N00003739,1.00000000009118,440,325,1,2,2,5,11,18,76
N00003740,1.0000000000136799,283,200,6,0,0,1,0,10,66
N00003741,0.99999999997054301,244,188,4,1,0,5,3,12,31
N00003742,1.00000000003921,316,274,2,1,0,2,2,12,23
N00003745,2.96736639688834E-2,462,349,29,14,0,0,0,14,56
N00003746,0.74196162811036204,338,299,2,2,0,0,0,13,22
N00003747,0.94866305167435605,314,258,7,6,0,8,1,19,15
N00003749,0.90085101284186897,514,390,14,8,2,31,3,22,44
N00003750,0.99999999999987998,491,404,19,7,4,18,10,12,17
N00003751,0.99916698451047004,559,436,25,19,3,1,4,19,52
N00003752,0.106959881706832,456,387,11,4,0,10,1,22,21
N00003756,0.81467977066610997,353,282,3,2,0,3,1,6,56
N00003765,1.7915825630646101E-2,426,184,161,33,2,9,1,3,33
N00003768,0.97322273228812795,609,494,6,1,0,16,2,41,49
N00003769,0.99999999993156896,351,273,9,0,0,9,0,17,43
N00003770,1.00000000000191,494,385,10,1,0,7,3,13,75
N00003771,1.00000000000193,512,411,3,0,0,10,4,21,63
N00003772,0.99999999994963995,186,151,1,0,0,1,0,9,24
N00003773,0.99999999878069601,323,277,6,0,0,1,1,9,29
N00003774,1.00000000000605,338,297,0,1,0,0,6,16,18
N00003775,0.99999999999872102,539,442,0,7,0,2,1,35,52
N00003776,1.0000000001651601,384,336,8,4,1,3,1,12,19
N00003777,1.00000000003525,289,237,4,5,1,7,0,8,27
N00003778,0.99999999988903598,391,275,4,8,4,7,2,30,61
N00003779,1.00000000000972,355,271,6,6,0,6,0,16,50
N00003780,0.99999999943162499,380,332,1,3,1,0,0,9,34
N00003781,0.99999999997002298,388,341,2,2,6,5,5,13,14
N00003782,0.57218852790224894,581,439,40,31,8,10,2,21,30
N00003783,0.999999999717326,330,264,3,5,3,14,11,11,19
N00003786,0.53115823029486797,495,432,1,1,0,1,1,13,46
N00003787,8.2057747544041507E-2,402,344,2,5,0,4,1,10,36
N00003788,0.493742750347687,337,286,1,0,0,8,0,12,30
N00003789,1.6037412390905701E-2,442,372,5,6,0,0,0,10,49
N00003863,0.99999999998042699,236,173,5,3,0,9,0,17,29
N00003864,0.91679543633861105,380,326,1,0,0,2,2,18,31
N00003865,1.0000000000012299,255,200,8,3,0,1,2,13,28
N00003866,0.84830138554555701,339,303,3,3,0,2,1,15,12
N00003867,0.468548362740415,723,630,5,17,3,7,1,28,32
N00003868,0.99480414132077,351,302,0,2,0,2,1,12,32
N00003869,0.86384979612458301,1226,939,28,19,5,25,11,66,133
N00003870,0.99999999999556,254,191,4,7,0,5,0,15,32
N00003871,0.98661788248476701,730,616,9,12,5,14,0,26,48
N00003872,0.99999999995553601,278,205,4,3,0,2,1,21,42
N00003873,0.54798217438005403,1042,913,17,5,2,12,1,26,66
N00003881,0.99999999993355904,491,406,18,6,3,16,1,25,16
N00003882,1.0000000000272999,304,255,8,8,1,1,0,14,17
N00003883,1.0000000007304499,819,629,24,34,2,15,9,37,69
N00003884,1.00000000013523,747,435,102,62,16,13,16,61,42
N00003885,0.99999999985101995,337,141,67,45,3,7,6,38,30
N00003886,0.99999999999100897,305,171,45,36,4,6,11,24,8
