health..oa_id,health..proportion_of_oa_within_co_m_boundary,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00017075,1.7451529913329301E-2,292,148,81,49,14,0
E00017098,1.08463133844631E-2,339,157,121,51,9,1
E00017383,7.4254478919115199E-2,329,163,124,33,8,1
E00017384,0.99504798251943904,296,113,111,48,19,5
E00017385,1.0000000000012701,414,185,152,60,11,6
E00017386,1.00000000000277,315,137,125,42,7,4
E00017387,1.0000000000039899,264,126,86,42,5,5
E00017388,0.99999999999866895,378,173,138,56,10,1
E00017389,1,325,134,141,34,11,5
E00017390,1.00000000000113,328,129,129,47,19,4
E00017391,0.87733741149631606,359,163,120,56,18,2
E00017392,0.99999999998521205,265,85,105,52,17,6
E00017393,2.0543689175256799E-2,246,131,87,19,9,0
E00017398,0.57237102664327599,283,114,117,36,10,6
E00017399,0.900057141932604,253,109,100,34,7,3
E00017401,0.52371284546706698,303,128,124,32,13,6
E00017403,0.35380655309209103,491,191,147,93,46,14
E00017405,1.00000000000117,349,153,119,56,16,5
E00017406,0.30379238656637197,365,173,127,40,13,12
E00017407,1,304,148,99,38,16,3
E00017408,1.0000000000012299,332,139,129,45,12,7
E00017409,0.99999999999620703,330,142,118,50,15,5
E00017410,1.0000000000021401,298,118,120,43,11,6
E00017411,0.97536162313199704,283,120,106,38,16,3
E00017412,0.95652053663426895,295,126,100,49,16,4
E00017456,2.0438054407924101E-2,377,176,145,40,16,0
E00020753,0.99999999999511902,374,185,133,34,12,10
E00020754,1.0000000000239799,421,164,136,72,37,12
E00020756,1.00000000000773,348,135,149,48,11,5
E00020757,0.98631922848664899,488,210,187,68,17,6
E00020758,1.00000000000166,512,198,211,72,25,6
E00020759,0.99999999999382005,282,115,107,39,17,4
E00020760,0.92511469795653301,191,90,72,15,10,4
E00020763,0.256510014784118,376,183,131,38,18,6
E00020764,1.00000000000282,297,151,106,32,5,3
E00020765,1.0000000000012299,283,124,101,48,8,2
E00020766,0.99999999999478595,352,160,128,47,13,4
E00020767,0.99999999999886702,387,199,123,45,18,2
E00020768,1.0000000000032301,302,136,99,52,11,4
E00020769,1.0000000000046601,231,77,105,39,8,2
E00020770,0.50085486800612899,294,134,108,33,15,4
E00020771,0.75158625446771399,326,181,99,34,9,3
E00020772,0.76472900946590106,427,193,158,58,12,6
E00020773,1.00000000000144,277,113,107,43,11,3
E00020774,0.99999999999588995,272,124,101,36,9,2
E00020775,0.81316839401398799,281,140,88,36,16,1
E00020776,0.75482781763339402,320,146,117,38,14,5
E00020779,0.27412539179720902,246,87,92,46,16,5
E00020780,1.00000000000276,457,202,147,81,21,6
E00020782,1.00000000000057,362,158,131,49,23,1
E00020785,1.0000000000192899,364,183,117,41,14,9
E00020786,1.0000000000024301,287,134,96,38,15,4
E00020865,1.2337269166016801E-2,368,191,114,49,11,3
E00020869,1.9673067926659599E-2,395,220,108,45,14,8
E00020979,2.0390679681122899E-2,427,193,174,49,10,1
E00021071,0.44721150129362203,276,93,111,52,16,4
E00021074,1.0000000000009699,334,162,113,38,15,6
E00021075,0.93622319349785299,318,167,94,36,16,5
E00021076,0.99999999999746603,330,148,124,39,10,9
E00021077,1.00000000000393,271,126,89,40,13,3
E00021080,0.99999999999969003,470,212,177,60,17,4
E00021081,0.96775601969624703,346,166,113,56,11,0
E00021082,0.99999999998549205,309,144,116,30,15,4
E00021083,0.99999999999751399,364,187,120,42,11,4
E00021084,1.0000000000090701,303,137,112,42,11,1
E00021085,1.0000000000009599,315,162,105,32,12,4
E00021086,0.99999999999358202,172,52,53,50,9,8
E00021087,0.99999999999894396,310,153,86,41,26,4
E00021088,0.99999999999002098,327,145,115,40,19,8
E00021089,0.99999999999084799,377,169,144,36,24,4
E00021090,1.0000000000078999,309,145,111,36,15,2
E00021091,0.99999999999623601,324,164,103,39,14,4
E00021092,2.9407715374288101E-2,244,118,75,36,14,1
E00021096,0.71380008686163998,228,103,75,35,13,2
E00021097,0.409335847112197,237,134,75,22,4,2
E00021098,0.521245835648524,251,102,97,29,21,2
E00021102,0.49680960419109399,244,109,68,46,16,5
E00021105,1.01247304391043E-2,284,149,87,36,9,3
E00166819,0.461406779595192,451,241,163,37,8,2
E00166826,0.999999999997772,181,97,55,25,4,0
